,column_name
0,gbifID
1,modified
2,basisOfRecord
3,occurrenceID
4,catalogNumber
5,recordNumber
6,recordedBy
7,individualCount
8,occurrenceStatus
9,preparations
10,associatedSequences
11,occurrenceRemarks
12,verbatimLabel
13,materialSampleID
14,fieldNumber
15,eventDate
16,startDayOfYear
17,endDayOfYear
18,year
19,month
20,day
21,verbatimEventDate
22,locationID
23,higherGeography
24,continent
25,waterBody
26,islandGroup
27,island
28,countryCode
29,stateProvince
30,county
31,locality
32,verbatimElevation
33,verbatimDepth
34,decimalLatitude
35,decimalLongitude
36,coordinateUncertaintyInMeters
37,pointRadiusSpatialFit
38,verbatimCoordinateSystem
39,georeferencedBy
40,georeferenceProtocol
41,georeferenceRemarks
42,latestEonOrHighestEonothem
43,latestPeriodOrHighestSystem
44,latestEpochOrHighestSeries
45,highestBiostratigraphicZone
46,lithostratigraphicTerms
47,member
48,identificationQualifier
49,typeStatus
50,identifiedBy
51,taxonID
52,acceptedNameUsageID
53,parentNameUsageID
54,originalNameUsageID
55,namePublishedInID
56,scientificName
57,parentNameUsage
58,originalNameUsage
59,higherClassification
60,kingdom
61,phylum
62,class
63,order
64,superfamily
65,family
66,subfamily
67,genus
68,genericName
69,subgenus
70,specificEpithet
71,infraspecificEpithet
72,cultivarEpithet
73,taxonRank
74,verbatimTaxonRank
75,vernacularName
76,nomenclaturalCode
77,taxonomicStatus
78,datasetKey
79,publishingCountry
80,lastInterpreted
81,depth
82,depthAccuracy
83,distanceFromCentroidInMeters
84,issue
85,mediaType
86,hasCoordinate
87,hasGeospatialIssues
88,taxonKey
89,acceptedTaxonKey
90,kingdomKey
91,phylumKey
92,classKey
93,orderKey
94,familyKey
95,genusKey
96,speciesKey
97,species
98,acceptedScientificName
99,verbatimScientificName
100,lastParsed
101,repatriated
102,isSequenced
103,gbifRegion
104,level0Gid
105,level0Name
106,level1Gid
107,level1Name
108,level2Gid
109,level2Name
110,level3Gid
111,level3Name
112,iucnRedListCategory
