column_name,non_null,unique_count,dtype
gbifID,988403,988403,int64
accessRights,0,0,float64
bibliographicCitation,0,0,float64
language,0,0,float64
license,988403,1,object
modified,988403,103380,object
publisher,988403,1,object
references,0,0,float64
rightsHolder,0,0,float64
type,0,0,float64
institutionID,988403,1,object
collectionID,988403,1,object
datasetID,0,0,float64
institutionCode,988403,1,object
collectionCode,988403,1,object
datasetName,988403,1,object
ownerInstitutionCode,0,0,float64
basisOfRecord,988403,2,object
informationWithheld,0,0,float64
dataGeneralizations,0,0,float64
dynamicProperties,0,0,float64
occurrenceID,988403,988403,object
catalogNumber,855899,843686,object
recordNumber,979705,163294,object
recordedBy,976524,71729,object
recordedByID,0,0,float64
individualCount,988286,18,float64
organismQuantity,0,0,float64
organismQuantityType,0,0,float64
sex,0,0,float64
lifeStage,71566,3,object
reproductiveCondition,0,0,float64
caste,0,0,float64
behavior,0,0,float64
vitality,0,0,float64
establishmentMeans,0,0,float64
degreeOfEstablishment,0,0,float64
pathway,0,0,float64
georeferenceVerificationStatus,0,0,float64
occurrenceStatus,988403,1,object
preparations,29160,77,object
disposition,0,0,float64
associatedOccurrences,0,0,float64
associatedReferences,0,0,float64
associatedSequences,74,73,object
associatedTaxa,0,0,float64
otherCatalogNumbers,0,0,float64
occurrenceRemarks,19991,7579,object
organismID,0,0,float64
organismName,0,0,float64
organismScope,0,0,float64
associatedOrganisms,0,0,float64
previousIdentifications,0,0,float64
organismRemarks,0,0,float64
materialEntityID,0,0,float64
materialEntityRemarks,0,0,float64
verbatimLabel,0,0,float64
materialSampleID,0,0,float64
eventID,0,0,float64
parentEventID,0,0,float64
eventType,0,0,float64
fieldNumber,59,5,object
eventDate,868594,66958,object
eventTime,0,0,float64
startDayOfYear,726737,366,float64
endDayOfYear,726737,366,float64
year,866084,250,float64
month,806420,12,float64
day,673706,31,float64
verbatimEventDate,332976,83121,object
habitat,110431,54569,object
samplingProtocol,0,0,float64
sampleSizeValue,0,0,float64
sampleSizeUnit,0,0,float64
samplingEffort,0,0,float64
fieldNotes,0,0,float64
eventRemarks,0,0,float64
locationID,8980,667,object
higherGeographyID,0,0,float64
higherGeography,979955,17498,object
continent,955615,7,object
waterBody,4175,75,object
islandGroup,24834,362,object
island,82401,2614,object
countryCode,977548,233,object
stateProvince,769027,3164,object
county,161648,7486,object
municipality,0,0,float64
locality,915695,617493,object
verbatimLocality,0,0,float64
