,column_name
0,gbifID
1,license
2,modified
3,publisher
4,institutionID
5,collectionID
6,institutionCode
7,collectionCode
8,datasetName
9,basisOfRecord
10,occurrenceID
11,catalogNumber
12,recordNumber
13,recordedBy
14,individualCount
15,sex
16,lifeStage
17,occurrenceStatus
18,preparations
19,associatedSequences
20,occurrenceRemarks
21,eventDate
22,startDayOfYear
23,endDayOfYear
24,year
25,month
26,day
27,verbatimEventDate
28,habitat
29,higherGeography
30,continent
31,waterBody
32,islandGroup
33,island
34,countryCode
35,stateProvince
36,county
37,locality
38,verbatimElevation
39,decimalLatitude
40,decimalLongitude
41,verbatimCoordinateSystem
42,georeferenceProtocol
43,georeferenceRemarks
44,identificationQualifier
45,typeStatus
46,identifiedBy
47,acceptedNameUsageID
48,scientificName
49,higherClassification
50,kingdom
51,phylum
52,class
53,order
54,family
55,genus
56,genericName
57,specificEpithet
58,infraspecificEpithet
59,taxonRank
60,taxonomicStatus
61,datasetKey
62,publishingCountry
63,lastInterpreted
64,elevation
65,elevationAccuracy
66,depth
67,distanceFromCentroidInMeters
68,issue
69,mediaType
70,hasCoordinate
71,hasGeospatialIssues
72,taxonKey
73,acceptedTaxonKey
74,kingdomKey
75,phylumKey
76,classKey
77,orderKey
78,familyKey
79,genusKey
80,speciesKey
81,species
82,acceptedScientificName
83,verbatimScientificName
84,protocol
85,lastParsed
86,lastCrawled
87,repatriated
88,isSequenced
89,gbifRegion
90,publishedByGbifRegion
91,level0Gid
92,level0Name
93,level1Gid
94,level1Name
95,level2Gid
96,level2Name
97,level3Gid
98,level3Name
99,iucnRedListCategory
